#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.420   -412.430     43.690    101.480    140.780
      0.014   -475.590    492.890   -410.390     45.800    102.380    142.900
      0.029   -474.990    494.360   -408.370     46.350    103.940    143.980
      0.043   -474.310    495.870   -406.300     47.160    105.570    145.170
      0.057   -473.670    497.410   -404.190     47.690    106.410    147.250
      0.071   -472.980    498.950   -402.050     48.640    107.560    147.750
      0.086   -472.270    500.490   -399.940     49.160    108.430    148.060
      0.100   -471.570    502.050   -397.800     51.220    108.160    148.910
      0.114   -470.830    503.600   -395.670     53.470    108.950    149.440
      0.129   -470.080    505.160   -393.530     55.540    109.610    150.970
      0.143   -469.300    506.760   -391.410     58.530    111.800    150.750
      0.157   -468.500    508.380   -389.280     60.100    113.250    152.600
      0.171   -467.680    510.030   -387.100     60.840    113.870    153.470
      0.186   -466.830    511.700   -384.840     61.870    115.670    155.360
      0.200   -465.940    513.370   -382.590     62.380    116.680    157.270
      0.214   -465.060    515.040   -380.300     63.040    116.700    160.040
      0.229   -464.160    516.700   -377.950     65.130    117.300    162.820
      0.243   -463.190    518.370   -375.590     66.600    118.580    164.070
      0.257   -462.210    520.050   -373.240     68.750    119.000    165.480
      0.271   -461.230    521.740   -370.890     70.200    121.710    168.090
      0.286   -460.100    523.460   -368.450     72.200    124.560    171.960
      0.300   -459.050    525.270   -365.950     74.430    125.960    174.900
      0.314   -457.940    527.060   -363.460     76.330    126.800    176.310
      0.329   -456.940    528.950   -360.980     77.740    127.720    178.290
      0.343   -455.820    530.810   -358.400     79.630    128.640    181.040
      0.357   -454.540    532.580   -355.730     81.670    129.660    183.850
      0.371   -453.440    534.510   -353.130     84.380    130.350    184.830
      0.386   -452.110    536.330   -350.440     87.460    131.310    186.610
      0.400   -450.800    538.200   -347.770     90.620    131.700    188.900
      0.414   -449.470    540.070   -345.070     93.360    132.560    191.000
      0.429   -448.070    541.940   -342.370     95.090    134.170    191.330
      0.443   -446.700    543.840   -339.660     97.560    133.960    192.730
      0.457   -445.270    545.740   -336.920    100.430    133.950    194.720
      0.471   -443.820    547.640   -334.160    102.700    134.040    197.170
      0.486   -442.370    549.530   -331.370    104.420    133.710    199.800
      0.500   -440.880    551.430   -328.520    107.100    134.250    201.940
      0.514   -439.370    553.350   -325.650    111.060    135.860    204.920
      0.529   -437.750    555.280   -322.840    117.530    135.670    205.860
      0.543   -436.070    557.210   -319.900    122.270    136.090    208.140
      0.557   -434.300    559.160   -316.960    126.550    137.040    209.830
      0.571   -432.480    561.130   -313.960    130.950    137.470    211.960
      0.586   -430.600    563.100   -310.930    136.010    136.970    213.850
      0.600   -428.630    565.040   -307.860    141.070    136.220    215.660
      0.614   -426.590    567.010   -304.730    145.230    136.300    218.320
      0.629   -424.520    568.950   -301.560    148.460    135.060    221.110
      0.643   -422.390    570.870   -298.360    151.930    135.220    223.200
      0.657   -420.170    572.820   -295.100    157.040    134.730    225.440
      0.671   -417.800    574.760   -291.730    162.020    133.350    229.600
      0.686   -415.480    576.660   -288.430    167.180    132.140    232.280
      0.700   -413.010    578.530   -285.070    172.130    129.940    234.290
      0.714   -410.500    580.370   -281.680    177.950    127.550    236.620
      0.729   -407.900    582.150   -278.300    183.430    124.000    237.320
      0.743   -405.160    583.870   -274.890    188.030    120.710    238.190
      0.757   -402.470    585.590   -271.480    193.470    118.510    239.320
      0.771   -399.570    587.230   -268.050    199.870    115.840    240.540
      0.786   -396.730    588.890   -264.620    205.090    113.150    241.830
      0.800   -393.750    590.490   -261.130    211.380    110.020    243.600
      0.814   -390.690    592.040   -257.630    218.240    105.620    245.230
      0.829   -387.490    593.490   -254.190    224.230    101.500    246.710
      0.843   -384.240    594.920   -250.650    230.690     97.150    246.320
      0.857   -380.920    596.310   -247.090    237.950     92.890    248.120
      0.871   -377.440    597.570   -243.570    244.150     86.900    247.680
      0.886   -373.890    598.790   -240.010    250.360     80.650    248.220
      0.900   -370.250    599.900   -236.450    255.260     74.500    248.460
      0.914   -366.550    600.900   -232.940    259.950     68.000    246.930
      0.929   -362.740    601.810   -229.380    263.870     60.800    246.700
      0.943   -358.960    602.630   -225.870    268.160     54.560    245.210
      0.957   -355.110    603.350   -222.420    271.700     48.970    244.040
      0.971   -351.190    604.020   -218.920    275.300     43.820    241.180
      0.986   -347.230    604.610   -215.490    277.630     37.790    239.290
      1.000   -343.280    605.110   -212.110    279.480     31.910    236.980
      1.014   -339.270    605.510   -208.750    280.810     26.180    234.810
      1.029   -335.260    605.860   -205.370    282.600     19.570    232.760
      1.043   -331.160    606.090   -202.080    283.830     13.120    228.910
      1.057   -327.160    606.240   -198.860    284.790      7.420    225.020
      1.071   -323.140    606.330   -195.640    287.170      2.210    221.060
      1.086   -319.060    606.320   -192.530    287.350     -4.010    217.600
      1.100   -314.920    606.220   -189.440    287.600     -9.000    214.100
      1.114   -310.880    606.060   -186.410    287.330    -13.770    211.290
      1.129   -306.770    605.820   -183.410    287.470    -19.480    207.550
      1.143   -302.670    605.510   -180.460    287.160    -25.370    203.790
      1.157   -298.570    605.100   -177.600    286.430    -30.170    200.590
      1.171   -294.440    604.670   -174.670    285.230    -34.930    197.910
      1.186   -290.400    604.110   -171.920    285.360    -40.830    194.440
      1.200   -286.290    603.490   -169.160    283.260    -45.830    189.090
      1.214   -282.260    602.790   -166.480    281.460    -52.390    186.780
      1.229   -278.290    601.980   -163.850    279.540    -57.060    185.220
      1.243   -274.310    601.150   -161.210    278.680    -60.590    181.460
      1.257   -270.360    600.260   -158.640    277.050    -63.670    178.730
      1.271   -266.400    599.300   -156.120    274.010    -65.790    177.370
      1.286   -262.510    598.360   -153.570    272.400    -69.130    174.640
      1.300   -258.640    597.350   -151.060    271.230    -72.660    172.720
      1.314   -254.790    596.280   -148.610    269.020    -75.940    171.350
      1.329   -250.970    595.190   -146.190    266.750    -77.770    168.620
      1.343   -247.160    594.080   -143.770    264.950    -79.360    165.070
      1.357   -243.400    592.950   -141.400    263.640    -81.160    164.360
      1.371   -239.690    591.800   -139.040    262.190    -84.230    162.080
      1.386   -235.890    590.550   -136.760    260.980    -87.540    158.970
