#           t   pos_MW_M31  pos_M33_M31   pos_M33_MW   vel_MW_M31  vel_M33_M31  vels_M33_MW
        7.514        2.736      108.804      110.076        8.120      140.386      142.465
        7.529        2.703      108.724      109.962        8.051      139.138      142.257
        7.543        2.579      108.576      109.893        7.196      140.036      141.530
        7.557        2.535      108.345      109.700        8.477      139.952      142.681
        7.571        2.449      108.122      109.484       11.214      140.182      145.611
        7.586        2.412      107.781      109.284       12.128      139.623      145.768
        7.600        2.395      107.372      108.914       13.601      141.626      147.682
        7.614        2.297      106.922      108.578       14.287      142.323      147.761
        7.629        2.236      106.465      108.105       10.244      146.170      142.558
        7.643        2.228      105.868      107.603       10.288      149.796      145.475
        7.657        2.212      105.273      107.038        9.272      151.069      148.586
        7.671        2.131      104.567      106.285        8.709      153.586      150.070
        7.686        2.110      103.900      105.607        5.729      155.807      153.733
        7.700        2.069      103.096      104.819        6.534      159.091      156.117
        7.714        2.033      102.243      103.964        4.755      162.166      159.580
        7.729        2.007      101.291      102.999        4.296      166.442      163.397
        7.743        1.970      100.351      102.027        5.400      169.708      165.776
        7.757        1.961       99.312      100.985        5.011      172.376      173.613
        7.771        1.952       98.219       99.911        6.700      176.210      178.739
        7.786        1.847       97.086       98.691        4.996      180.413      182.296
        7.800        1.867       95.840       97.428        9.408      182.035      186.122
        7.814        1.951       94.554       96.265       11.636      186.138      190.557
        7.829        1.890       93.264       94.891        6.995      189.983      192.747
        7.843        1.867       91.773       93.384        1.791      195.911      196.732
        7.857        1.926       90.356       92.021        0.837      199.615      200.153
        7.871        1.845       88.883       90.416        2.249      204.906      205.221
        7.886        1.976       87.337       88.975        1.351      212.103      211.735
        7.900        1.928       85.661       87.212        2.458      217.726      217.572
        7.914        2.017       83.971       85.571        1.375      223.024      222.873
        7.929        2.018       82.225       83.814        1.384      226.896      226.896
        7.943        1.972       80.454       81.981        2.768      232.603      231.314
        7.957        1.995       78.644       80.148        2.760      235.269      233.901
        7.971        1.987       76.767       78.280        2.035      239.559      240.206
        7.986        2.018       74.863       76.383        3.446      245.935      245.537
        8.000        1.991       72.923       74.380        4.366      252.637      253.437
        8.014        1.985       70.939       72.424        2.457      258.233      258.185
        8.029        1.905       68.916       70.302        1.424      265.996      265.980
        8.043        1.890       66.861       68.257        2.676      272.446      273.343
        8.057        1.821       64.774       66.130        3.443      278.388      278.912
        8.071        1.824       62.703       64.063        3.059      282.790      283.430
        8.086        1.777       60.637       61.986        2.414      290.031      289.636
        8.100        1.614       58.642       59.897        3.927      295.644      295.247
        8.114        1.699       56.577       57.947        5.470      301.545      299.823
        8.129        1.627       54.651       55.958        5.753      308.550      306.294
        8.143        1.526       52.777       54.081        6.321      316.051      311.602
        8.157        1.512       50.925       52.220        6.257      320.445      315.378
        8.171        1.493       49.222       50.506        6.879      326.219      321.445
        8.186        1.373       47.689       48.844        6.891      331.453      327.843
        8.200        1.274       46.299       47.286        5.800      335.123      332.640
        8.214        1.264       45.079       46.023        6.614      338.741      338.005
        8.229        1.179       44.101       44.871        6.426      339.903      340.663
        8.243        1.044       43.444       43.983        7.935      343.076      346.175
        8.257        0.962       43.019       43.253       11.234      341.257      347.403
        8.271        0.801       42.850       42.886        8.690      341.190      346.127
        8.286        0.691       42.838       42.751        8.978      340.060      345.558
        8.300        0.640       43.152       42.795        7.728      337.442      341.815
        8.314        0.636       43.687       43.238        6.458      334.981      338.232
        8.329        0.659       44.414       43.824        6.125      331.369      332.990
        8.343        0.714       45.347       44.651        6.516      328.471      330.135
        8.357        0.753       46.478       45.750        5.389      325.084      323.841
        8.371        0.842       47.727       46.922        4.142      318.272      317.761
        8.386        0.963       49.174       48.283        4.089      312.290      314.387
        8.400        0.970       50.660       49.831        3.259      307.122      309.371
        8.414        1.000       52.234       51.456        4.329      299.237      302.183
        8.429        1.191       53.902       53.093        4.627      292.462      296.686
        8.443        1.197       55.574       54.889        3.207      286.299      289.475
        8.457        1.189       57.241       56.706        4.391      280.216      284.397
        8.471        1.293       58.935       58.487        2.350      274.702      275.661
        8.486        1.318       60.624       60.237        2.512      268.553      268.542
        8.500        1.331       62.269       61.983        2.712      261.854      262.343
        8.514        1.322       63.924       63.838        2.294      255.359      254.906
        8.529        1.399       65.561       65.557        3.913      250.786      248.004
        8.543        1.323       67.135       67.166        4.130      245.787      242.877
        8.557        1.307       68.650       68.827        5.837      241.208      236.033
        8.571        1.270       70.141       70.370        5.617      235.888      231.430
        8.586        1.223       71.656       71.908        4.137      229.501      226.912
        8.600        1.252       73.048       73.398        4.279      222.810      222.837
        8.614        1.197       74.451       74.932        4.117      217.319      217.758
        8.629        1.172       75.714       76.408        7.227      211.991      213.724
        8.643        1.194       77.010       77.636        8.165      207.210      209.453
        8.657        1.156       78.224       79.067        7.357      202.789      204.442
        8.671        1.281       79.366       80.253        6.686      199.381      201.365
        8.686        1.309       80.470       81.432        4.568      194.849      196.199
        8.700        1.290       81.488       82.505        3.095      190.497      191.122
        8.714        1.238       82.510       83.578        1.951      186.867      185.770
        8.729        1.222       83.381       84.370        3.795      183.436      179.895
        8.743        1.201       84.202       85.229        5.951      179.908      174.945
        8.757        1.136       85.023       86.076        8.847      177.316      170.136
        8.771        0.945       85.796       86.673        9.246      174.497      167.077
        8.786        0.841       86.452       87.235        9.438      172.367      164.906
        8.800        0.795       87.101       87.869        8.653      168.336      161.395
        8.814        0.725       87.634       88.327        7.485      165.591      160.046
        8.829        0.718       88.064       88.747        5.648      164.120      159.449
        8.843        0.642       88.457       89.084        5.138      162.716      157.961
        8.857        0.641       88.813       89.431        3.841      160.599      156.991
        8.871        0.613       89.002       89.614        3.294      158.255      155.082
        8.886        0.602       89.260       89.857        2.207      157.370      156.110
        8.900        0.627       89.238       89.859        4.532      156.348      155.530
        8.914        0.682       89.301       89.942        4.909      155.363      154.991
        8.929        0.668       89.217       89.859        5.258      153.880      154.185
        8.943        0.769       89.094       89.830        4.138      155.732      155.930
        8.957        0.718       88.893       89.573        3.659      156.291      156.057
        8.971        0.805       88.676       89.420        3.637      157.517      157.625
        8.986        0.824       88.361       89.055        3.609      157.705      155.646
        9.000        0.784       88.027       88.691        2.460      159.333      157.934
        9.014        0.760       87.583       88.191        2.241      160.371      158.941
        9.029        0.905       87.028       87.752        1.370      161.230      159.915
        9.043        0.868       86.469       87.100        2.430      164.313      161.896
        9.057        0.947       85.850       86.456        1.822      165.668      163.873
        9.071        0.887       85.180       85.706        1.942      167.821      166.060
        9.086        0.951       84.424       84.951        2.185      170.069      169.663
        9.100        1.047       83.557       84.031        1.401      172.971      173.784
        9.114        1.024       82.573       82.932        1.289      176.352      177.363
        9.129        1.041       81.567       81.809        2.154      179.548      181.099
        9.143        1.200       80.396       80.704        2.706      183.494      185.991
        9.157        1.155       79.313       79.489        3.612      186.566      189.684
        9.171        1.226       78.063       78.163        2.085      191.319      193.390
        9.186        1.334       76.858       76.867        1.839      194.746      194.974
        9.200        1.377       75.471       75.456        2.427      199.435      200.863
        9.214        1.406       74.039       74.006        2.808      205.630      205.693
        9.229        1.399       72.546       72.376        3.247      211.598      210.182
        9.243        1.433       70.929       70.805        3.345      216.928      214.940
        9.257        1.534       69.288       69.143        3.263      223.326      221.338
        9.271        1.535       67.553       67.381        2.237      228.390      227.341
        9.286        1.651       65.752       65.553        2.165      235.796      233.772
        9.300        1.666       63.951       63.688        2.275      241.508      241.658
        9.314        1.684       62.145       61.759        2.167      247.271      249.165
        9.329        1.733       60.171       59.680        3.235      254.265      256.978
        9.343        1.770       58.199       57.669        3.679      261.949      265.254
        9.357        1.775       56.197       55.566        4.576      268.185      272.529
        9.371        1.815       54.177       53.450        4.164      275.898      279.027
        9.386        1.748       52.157       51.388        4.347      283.220      286.309
        9.400        1.759       50.115       49.298        5.270      291.154      293.266
        9.414        1.711       48.111       47.220        4.456      300.495      302.306
        9.429        1.719       46.140       45.151        4.340      308.781      309.101
        9.443        1.713       44.225       43.241        4.855      316.568      314.514
        9.457        1.662       42.453       41.401        4.733      324.212      322.183
        9.471        1.639       40.752       39.679        4.751      331.163      328.931
        9.486        1.557       39.316       38.240        5.167      337.682      333.761
        9.500        1.544       38.064       36.951        5.557      343.470      340.443
        9.514        1.471       37.078       35.949        4.585      348.987      345.483
        9.529        1.495       36.400       35.219        6.079      352.782      347.069
        9.543        1.510       36.085       34.841        5.028      356.404      351.877
        9.557        1.446       36.109       34.862        5.342      357.341      352.317
        9.571        1.486       36.494       35.199        4.838      356.937      352.308
        9.586        1.412       37.176       35.928        3.418      355.643      352.808
        9.600        1.413       38.194       36.928        3.315      351.407      349.355
        9.614        1.475       39.491       38.194        1.982      344.859      343.645
        9.629        1.456       40.959       39.718        2.489      336.221      335.240
        9.643        1.393       42.617       41.452        2.501      326.251      324.350
        9.657        1.367       44.377       43.264        2.135      317.312      316.528
        9.671        1.412       46.209       45.120        0.636      308.102      308.193
        9.686        1.370       48.122       47.166        1.263      298.777      299.079
        9.700        1.314       50.083       49.171        1.584      289.292      290.075
        9.714        1.292       51.997       51.191        0.925      280.050      280.872
        9.729        1.246       53.928       53.237        1.172      269.530      269.578
        9.743        1.272       55.792       55.113        2.167      260.380      258.942
        9.757        1.187       57.559       57.015        1.779      251.762      250.777
        9.771        1.112       59.279       58.822        1.563      241.995      240.869
        9.786        1.066       60.970       60.519        1.487      233.823      232.383
        9.800        1.052       62.595       62.214        2.618      226.312      223.905
        9.814        0.900       64.157       63.807        1.830      216.948      216.125
        9.829        0.905       65.611       65.357        0.785      209.367      208.758
        9.843        0.798       67.051       66.835        0.915      202.275      201.891
        9.857        0.810       68.362       68.091        1.502      195.669      196.478
        9.871        0.710       69.530       69.397        2.668      188.393      189.547
        9.886        0.661       70.650       70.496        3.374      182.257      184.511
        9.900        0.651       71.692       71.458        4.790      176.898      181.050
        9.914        0.714       72.667       72.489        3.517      173.018      176.082
        9.929        0.305       73.562       73.655        4.626      168.049      172.025
        9.943        0.728       74.331       74.114        3.785      164.677      167.099
        9.957        0.745       74.997       74.822        3.928      160.998      163.815
        9.971        0.429       75.622       75.605        3.215      157.850      159.068
        9.986        0.779       76.129       75.875        2.340      156.785      157.683
       10.000        0.728       76.583       76.278        1.900      155.041      155.056
       10.014        0.705       76.902       76.618        2.003      152.919      152.081
       10.029        0.737       77.183       76.820        1.710      152.800      152.104
       10.043        0.789       77.307       76.899        2.047      153.710      152.741
       10.057        0.722       77.388       76.958        2.396      154.271      153.159
       10.071        0.782       77.323       76.848        2.767      154.258      153.409
       10.086        0.793       77.223       76.661        2.510      154.726      153.400
       10.100        0.778       77.048       76.490        1.111      155.700      155.787
       10.114        0.764       76.691       76.112        1.196      157.738      157.662
       10.129        0.762       76.341       75.725        1.497      159.429      160.097
       10.143        0.712       75.787       75.189        1.463      162.505      163.348
       10.157        0.726       75.276       74.684        2.086      165.092      166.189
       10.171        0.670       74.630       74.049        2.290      168.306      169.690
       10.186        0.708       73.885       73.234        2.014      170.728      170.709
       10.200        0.697       73.059       72.461        2.684      174.782      174.504
       10.214        0.700       72.138       71.560        3.139      178.682      177.801
       10.229        0.696       71.098       70.558        2.992      184.111      184.118
       10.243        0.780       69.964       69.393        3.767      189.192      188.888
       10.257        0.732       68.768       68.365        2.991      192.439      192.737
       10.271        0.807       67.476       67.058        2.812      197.456      197.585
       10.286        0.841       66.134       65.806        3.460      203.874      203.256
       10.300        0.973       64.458       64.172        3.110      210.118      210.120
       10.314        0.977       63.107       62.854        5.291      216.273      215.100
       10.329        1.048       61.437       61.363        4.860      223.226      222.753
       10.343        1.083       59.810       59.701        5.151      232.448      229.723
       10.357        1.193       58.047       57.975        5.191      239.449      235.815
       10.371        1.224       56.223       56.286        4.681      247.682      243.516
       10.386        1.250       54.393       54.336        3.827      256.203      252.710
       10.400        1.403       52.524       52.483        4.297      264.780      260.510
       10.414        1.438       50.646       50.553        3.225      271.866      268.678
       10.429        1.590       48.753       48.484        3.830      281.166      277.425
       10.443        1.636       46.863       46.600        4.175      289.038      285.505
       10.457        1.800       45.015       44.580        3.932      297.614      294.516
       10.471        1.887       35.173       34.571        3.654      307.110      303.589
       10.486        1.983       41.521       40.723        3.393      316.320      313.097
       10.500        2.188       39.938       38.814        3.832      325.387      322.437
       10.514        2.345       38.496       37.105        4.581      333.707      329.247
       10.529        2.379       37.278       35.702        3.259      340.621      337.449
       10.543        2.492       36.275       34.391        2.828      347.081      344.661
       10.557        2.571       35.571       33.426        2.702      351.274      348.901
       10.571        2.709       35.202       32.772        3.015      351.420      349.297
       10.586        2.838       35.173       32.493        3.301      349.679      347.608
       10.600        2.997       35.468       32.571        3.100      346.371      344.453
       10.614        2.874       36.009       33.283        3.603      341.487      341.741
       10.629        3.071       36.854       33.993        3.623      335.696      336.831
       10.643        3.138       37.875       35.088        2.541      329.383      329.539
       10.657        3.253       39.162       36.468        3.198      320.847      322.381
       10.671        2.976       40.534       38.285        3.315      309.364      312.055
       10.686        3.296       42.003       39.729        2.895      301.409      303.469
       10.700        3.346       43.607       41.508        1.937      293.638      295.464
       10.714        3.336       45.227       43.355        3.079      284.197      287.250
       10.729        3.156       46.902       45.400        2.238      277.797      279.773
       10.743        3.355       48.543       47.109        2.579      268.972      270.788
       10.757        3.027       50.212       49.219        2.337      262.016      263.821
       10.771        3.350       51.822       50.881        2.063      252.742      253.860
       10.786        3.352       53.452       52.608        2.267      242.266      243.910
       10.800        3.210       54.975       54.352        1.464      237.016      236.684
       10.814        3.267       56.428       55.933        1.975      231.095      231.050
       10.829        3.102       57.902       57.441        1.546      224.761      224.751
       10.843        3.022       59.312       58.976        2.192      218.327      216.951
       10.857        2.940       60.680       60.410        1.992      213.126      211.230
       10.871        2.863       61.903       61.766        2.756      206.308      205.063
       10.886        2.735       63.041       62.982        3.094      201.328      198.249
       10.900        2.596       64.129       64.078        4.365      196.228      191.903
       10.914        2.559       65.168       65.058        4.212      189.243      185.034
       10.929        2.328       66.117       66.053        4.102      184.463      180.467
       10.943        2.236       66.971       66.934        2.967      180.639      177.761
       10.957        2.058       67.712       67.656        4.830      177.012      172.204
       10.971        1.971       68.416       68.307        4.633      174.264      169.632
       10.986        1.788       69.022       68.847        3.400      172.156      168.836
       11.000        1.682       69.499       69.327        3.611      169.850      166.546
       11.014        1.567       69.881       69.703        4.975      167.470      162.560
       11.029        1.404       70.150       69.974        4.673      166.704      162.163
       11.043        1.310       70.341       70.131        5.212      166.388      161.598
       11.057        1.221       70.504       70.189        4.737      164.263      160.070
       11.071        1.105       70.569       70.237        3.353      163.273      160.424
       11.086        1.016       70.519       70.203        2.700      163.312      161.063
       11.100        0.843       70.460       70.103        2.429      162.782      160.422
       11.114        0.808       70.225       69.833        2.123      165.878      164.685
       11.129        0.715       69.918       69.540        2.458      166.527      164.616
       11.143        0.698       69.537       69.132        3.643      169.019      165.775
       11.157        0.609       69.064       68.661        2.514      170.538      168.380
       11.171        0.565       68.507       68.065        2.444      172.346      170.220
       11.186        0.544       67.853       67.402        3.089      175.367      172.986
       11.200        0.557       67.102       66.609        4.516      180.141      175.885
       11.214        0.547       66.220       65.697        3.036      182.927      179.989
       11.229        0.508       65.258       64.752        3.683      186.840      183.313
       11.243        0.533       64.205       63.673        4.211      192.712      188.768
       11.257        0.614       63.103       62.494        3.451      197.408      194.260
       11.271        0.562       61.861       61.305        3.195      203.380      200.218
       11.286        0.601       60.597       60.009        1.521      208.709      207.200
       11.300        0.639       59.215       58.588        1.677      214.791      213.886
       11.314        0.680       57.713       57.089        2.162      222.279      220.581
       11.329        0.681       56.171       55.567        2.087      227.526      225.931
       11.343        0.662       54.493       53.900        1.526      234.380      233.641
       11.357        0.650       52.766       52.225        1.400      242.097      243.372
       11.371        0.701       50.942       50.366        1.410      248.651      249.838
       11.386        0.854       49.104       48.426        1.331      256.282      257.111
       11.400        0.833       47.174       46.498        1.211      265.401      265.724
       11.414        0.804       45.233       44.610        2.009      272.366      273.995
       11.429        0.821       43.244       42.631        2.326      281.611      282.028
       11.443        0.798       43.249       42.655        2.891      281.669      282.393
