#         t      x_hat      y_hat      z_hat      L_mag
      3.271      0.103      0.908     -0.407  1.211e+07
      3.286      0.096      0.911     -0.401  1.195e+07
      3.300      0.095      0.909     -0.405  1.189e+07
      3.314      0.093      0.910     -0.405  1.192e+07
      3.329      0.088      0.910     -0.405  1.196e+07
      3.343      0.087      0.912     -0.401  1.206e+07
      3.357      0.087      0.910     -0.406  1.201e+07
      3.371      0.083      0.912     -0.403  1.182e+07
      3.386      0.081      0.912     -0.402  1.195e+07
      3.400      0.081      0.911     -0.404  1.204e+07
      3.414      0.078      0.912     -0.404  1.196e+07
      3.429      0.079      0.911     -0.404  1.196e+07
      3.443      0.075      0.912     -0.404  1.185e+07
      3.457      0.078      0.912     -0.404  1.198e+07
      3.471      0.074      0.913     -0.402  1.188e+07
      3.486      0.071      0.912     -0.403  1.186e+07
      3.500      0.074      0.912     -0.403  1.205e+07
      3.514      0.069      0.912     -0.404  1.203e+07
      3.529      0.070      0.912     -0.404  1.198e+07
      3.543      0.068      0.912     -0.404  1.195e+07
      3.557      0.069      0.911     -0.407  1.196e+07
      3.571      0.072      0.910     -0.408  1.210e+07
      3.586      0.073      0.910     -0.407  1.212e+07
      3.600      0.065      0.912     -0.405  1.185e+07
      3.614      0.069      0.910     -0.408  1.191e+07
      3.629      0.061      0.913     -0.404  1.193e+07
      3.643      0.065      0.912     -0.405  1.199e+07
      3.657      0.065      0.914     -0.401  1.192e+07
      3.671      0.068      0.913     -0.403  1.199e+07
      3.686      0.070      0.913     -0.402  1.198e+07
      3.700      0.070      0.912     -0.404  1.188e+07
      3.714      0.072      0.910     -0.409  1.201e+07
      3.729      0.070      0.911     -0.406  1.197e+07
      3.743      0.069      0.911     -0.407  1.198e+07
      3.757      0.068      0.909     -0.410  1.194e+07
      3.771      0.068      0.907     -0.416  1.191e+07
      3.786      0.068      0.906     -0.417  1.200e+07
      3.800      0.064      0.905     -0.420  1.193e+07
      3.814      0.066      0.902     -0.427  1.170e+07
      3.829      0.062      0.902     -0.427  1.186e+07
      3.843      0.062      0.900     -0.431  1.184e+07
      3.857      0.064      0.897     -0.438  1.180e+07
      3.871      0.062      0.894     -0.444  1.191e+07
      3.886      0.062      0.892     -0.447  1.195e+07
      3.900      0.065      0.888     -0.455  1.199e+07
      3.914      0.060      0.887     -0.458  1.192e+07
      3.929      0.064      0.881     -0.468  1.191e+07
      3.943      0.057      0.879     -0.472  1.189e+07
      3.957      0.060      0.875     -0.480  1.199e+07
      3.971      0.056      0.874     -0.483  1.179e+07
      3.986      0.051      0.872     -0.487  1.182e+07
      4.000      0.045      0.870     -0.492  1.186e+07
      4.014      0.040      0.868     -0.495  1.189e+07
      4.029      0.036      0.865     -0.501  1.198e+07
      4.043      0.033      0.860     -0.510  1.207e+07
      4.057      0.024      0.859     -0.511  1.189e+07
      4.071      0.012      0.860     -0.510  1.196e+07
      4.086      0.009      0.856     -0.517  1.180e+07
      4.100     -0.003      0.857     -0.516  1.192e+07
      4.114     -0.015      0.857     -0.515  1.181e+07
      4.129     -0.027      0.857     -0.514  1.181e+07
      4.143     -0.035      0.858     -0.512  1.181e+07
      4.157     -0.049      0.861     -0.506  1.181e+07
      4.171     -0.059      0.864     -0.500  1.182e+07
      4.186     -0.073      0.866     -0.495  1.186e+07
      4.200     -0.079      0.869     -0.489  1.179e+07
      4.214     -0.086      0.871     -0.483  1.187e+07
      4.229     -0.093      0.874     -0.477  1.178e+07
      4.243     -0.104      0.878     -0.467  1.175e+07
      4.257     -0.105      0.879     -0.465  1.183e+07
      4.271     -0.110      0.883     -0.457  1.174e+07
      4.286     -0.114      0.885     -0.451  1.172e+07
      4.300     -0.114      0.885     -0.451  1.176e+07
      4.314     -0.112      0.887     -0.447  1.158e+07
      4.329     -0.112      0.885     -0.452  1.141e+07
      4.343     -0.117      0.885     -0.451  1.136e+07
      4.357     -0.113      0.882     -0.457  1.120e+07
      4.371     -0.111      0.877     -0.468  1.130e+07
      4.386     -0.109      0.873     -0.476  1.116e+07
      4.400     -0.112      0.867     -0.485  1.110e+07
      4.414     -0.113      0.860     -0.498  1.094e+07
      4.429     -0.111      0.857     -0.504  1.089e+07
      4.443     -0.111      0.849     -0.517  1.082e+07
      4.457     -0.115      0.841     -0.528  1.074e+07
      4.471     -0.113      0.827     -0.550  1.079e+07
      4.486     -0.117      0.823     -0.556  1.063e+07
      4.500     -0.114      0.812     -0.572  1.056e+07
      4.514     -0.122      0.814     -0.569  1.047e+07
      4.529     -0.122      0.800     -0.588  1.047e+07
      4.543     -0.126      0.797     -0.591  1.037e+07
      4.557     -0.135      0.794     -0.593  1.033e+07
      4.571     -0.141      0.779     -0.611  1.041e+07
      4.586     -0.144      0.782     -0.607  1.029e+07
      4.600     -0.146      0.763     -0.630  1.048e+07
      4.614     -0.146      0.752     -0.643  1.046e+07
      4.629     -0.153      0.744     -0.650  1.052e+07
      4.643     -0.153      0.739     -0.657  1.050e+07
      4.657     -0.158      0.726     -0.670  1.055e+07
      4.671     -0.163      0.720     -0.674  1.052e+07
      4.686     -0.165      0.716     -0.678  1.064e+07
      4.700     -0.175      0.710     -0.682  1.056e+07
      4.714     -0.173      0.694     -0.699  1.076e+07
      4.729     -0.179      0.692     -0.699  1.070e+07
      4.743     -0.185      0.681     -0.709  1.075e+07
      4.757     -0.181      0.674     -0.717  1.088e+07
      4.771     -0.187      0.679     -0.709  1.074e+07
      4.786     -0.194      0.667     -0.719  1.081e+07
      4.800     -0.190      0.660     -0.727  1.101e+07
      4.814     -0.192      0.662     -0.725  1.089e+07
      4.829     -0.194      0.657     -0.729  1.085e+07
      4.843     -0.198      0.655     -0.730  1.099e+07
      4.857     -0.201      0.651     -0.732  1.092e+07
      4.871     -0.198      0.654     -0.730  1.096e+07
      4.886     -0.201      0.639     -0.742  1.097e+07
      4.900     -0.199      0.627     -0.753  1.132e+07
      4.914     -0.208      0.633     -0.746  1.110e+07
      4.929     -0.200      0.632     -0.749  1.116e+07
      4.943     -0.200      0.613     -0.764  1.143e+07
      4.957     -0.204      0.620     -0.757  1.126e+07
      4.971     -0.199      0.609     -0.768  1.148e+07
      4.986     -0.194      0.614     -0.765  1.134e+07
      5.000     -0.203      0.619     -0.758  1.111e+07
      5.014     -0.178      0.599     -0.781  1.151e+07
      5.029     -0.178      0.588     -0.789  1.157e+07
      5.043     -0.170      0.571     -0.803  1.186e+07
      5.057     -0.170      0.576     -0.799  1.176e+07
      5.071     -0.152      0.578     -0.802  1.157e+07
      5.086     -0.151      0.582     -0.799  1.159e+07
      5.100     -0.138      0.559     -0.817  1.176e+07
      5.114     -0.119      0.549     -0.827  1.184e+07
      5.129     -0.086      0.524     -0.847  1.244e+07
      5.143     -0.093      0.531     -0.842  1.202e+07
      5.157     -0.063      0.510     -0.858  1.225e+07
      5.171     -0.037      0.480     -0.877  1.251e+07
      5.186      0.009      0.476     -0.879  1.298e+07
      5.200      0.034      0.460     -0.887  1.307e+07
      5.214      0.070      0.456     -0.887  1.298e+07
      5.229      0.097      0.452     -0.887  1.292e+07
      5.243      0.157      0.430     -0.889  1.371e+07
      5.257      0.175      0.429     -0.886  1.357e+07
      5.271      0.171      0.393     -0.903  1.315e+07
      5.286      0.191      0.397     -0.898  1.345e+07
      5.300      0.217      0.382     -0.898  1.390e+07
      5.314      0.208      0.381     -0.901  1.368e+07
      5.329      0.242      0.409     -0.880  1.406e+07
      5.343      0.246      0.389     -0.888  1.440e+07
      5.357      0.267      0.304     -0.914  1.559e+07
      5.371      0.262      0.344     -0.902  1.481e+07
      5.386      0.268      0.370     -0.889  1.441e+07
      5.400      0.278      0.344     -0.897  1.491e+07
      5.414      0.313      0.356     -0.881  1.607e+07
      5.429      0.273      0.327     -0.905  1.489e+07
      5.443      0.264      0.357     -0.896  1.404e+07
      5.457      0.322      0.322     -0.890  1.602e+07
      5.471      0.342      0.315     -0.885  1.665e+07
      5.486      0.298      0.339     -0.892  1.430e+07
      5.500      0.335      0.290     -0.897  1.583e+07
      5.514      0.316      0.300     -0.900  1.478e+07
      5.529      0.364      0.302     -0.881  1.547e+07
      5.543      0.355      0.284     -0.890  1.491e+07
      5.557      0.362      0.275     -0.890  1.548e+07
      5.571      0.385      0.276     -0.881  1.518e+07
      5.586      0.401      0.221     -0.889  1.704e+07
      5.600      0.371      0.242     -0.896  1.500e+07
      5.614      0.362      0.244     -0.900  1.394e+07
      5.629      0.412      0.209     -0.887  1.509e+07
      5.643      0.400      0.234     -0.886  1.492e+07
      5.657      0.398      0.170     -0.902  1.525e+07
      5.671      0.452      0.171     -0.876  1.578e+07
      5.686      0.434      0.135     -0.891  1.562e+07
      5.700      0.424      0.152     -0.893  1.442e+07
      5.714      0.468      0.120     -0.875  1.551e+07
      5.729      0.507      0.078     -0.859  1.676e+07
      5.743      0.481      0.088     -0.872  1.478e+07
      5.757      0.475      0.077     -0.877  1.425e+07
      5.771      0.471      0.019     -0.882  1.490e+07
      5.786      0.488     -0.007     -0.873  1.485e+07
      5.800      0.498     -0.033     -0.866  1.555e+07
      5.814      0.515     -0.102     -0.851  1.517e+07
      5.829      0.470     -0.043     -0.881  1.295e+07
      5.843      0.469     -0.064     -0.881  1.367e+07
      5.857      0.484     -0.099     -0.870  1.356e+07
      5.871      0.456     -0.137     -0.879  1.326e+07
      5.886      0.444     -0.091     -0.891  1.363e+07
      5.900      0.461     -0.115     -0.880  1.394e+07
      5.914      0.433     -0.110     -0.895  1.339e+07
      5.929      0.387     -0.116     -0.915  1.218e+07
      5.943      0.433     -0.112     -0.894  1.277e+07
      5.957      0.444     -0.083     -0.892  1.294e+07
      5.971      0.402     -0.139     -0.905  1.166e+07
      5.986      0.398     -0.135     -0.907  1.227e+07
      6.000      0.416     -0.128     -0.900  1.286e+07
      6.014      0.430     -0.195     -0.882  1.310e+07
      6.029      0.389     -0.194     -0.900  1.138e+07
      6.043      0.377     -0.282     -0.882  1.237e+07
      6.057      0.434     -0.193     -0.880  1.261e+07
      6.071      0.402     -0.275     -0.874  1.287e+07
      6.086      0.445     -0.268     -0.854  1.449e+07
      6.100      0.377     -0.244     -0.894  1.251e+07
      6.114      0.419     -0.283     -0.863  1.318e+07
      6.129      0.408     -0.272     -0.871  1.332e+07
      6.143      0.449     -0.242     -0.860  1.460e+07
      6.157      0.439     -0.293     -0.849  1.493e+07
      6.171      0.457     -0.276     -0.846  1.626e+07
      6.186      0.459     -0.303     -0.835  1.530e+07
      6.200      0.440     -0.349     -0.827  1.405e+07
      6.214      0.458     -0.272     -0.846  1.507e+07
      6.229      0.464     -0.339     -0.819  1.666e+07
      6.243      0.489     -0.330     -0.807  1.729e+07
      6.257      0.505     -0.328     -0.798  1.882e+07
      6.271      0.561     -0.249     -0.789  1.811e+07
      6.286      0.540     -0.342     -0.769  2.101e+07
      6.300      0.567     -0.317     -0.760  2.053e+07
      6.314      0.593     -0.293     -0.750  2.129e+07
      6.329      0.581     -0.298     -0.757  2.101e+07
      6.343      0.588     -0.301     -0.751  2.294e+07
      6.357      0.612     -0.307     -0.729  2.427e+07
      6.371      0.606     -0.313     -0.732  2.479e+07
      6.386      0.635     -0.288     -0.716  2.528e+07
      6.400      0.651     -0.276     -0.707  2.712e+07
      6.414      0.648     -0.265     -0.714  2.762e+07
      6.429      0.661     -0.277     -0.697  2.997e+07
      6.443      0.664     -0.278     -0.694  2.984e+07
      6.457      0.672     -0.256     -0.695  2.905e+07
      6.471      0.652     -0.316     -0.689  3.172e+07
      6.486      0.669     -0.300     -0.680  3.313e+07
      6.500      0.676     -0.290     -0.677  3.542e+07
      6.514      0.687     -0.246     -0.684  3.577e+07
      6.529      0.699     -0.230     -0.678  3.722e+07
      6.543      0.687     -0.264     -0.677  3.812e+07
      6.557      0.690     -0.280     -0.667  4.107e+07
      6.571      0.693     -0.254     -0.674  3.924e+07
      6.586      0.700     -0.267     -0.662  4.283e+07
      6.600      0.703     -0.256     -0.663  4.336e+07
      6.614      0.702     -0.256     -0.665  4.674e+07
      6.629      0.704     -0.252     -0.665  4.966e+07
      6.643      0.714     -0.233     -0.661  4.804e+07
      6.657      0.712     -0.236     -0.661  5.577e+07
      6.671      0.713     -0.240     -0.659  5.660e+07
      6.686      0.717     -0.222     -0.660  5.652e+07
      6.700      0.722     -0.210     -0.659  6.189e+07
      6.714      0.723     -0.196     -0.662  6.114e+07
      6.729      0.722     -0.207     -0.660  6.972e+07
      6.743      0.724     -0.197     -0.662  7.211e+07
      6.757      0.723     -0.191     -0.664  7.061e+07
      6.771      0.737     -0.168     -0.654  7.509e+07
      6.786      0.736     -0.164     -0.657  7.999e+07
      6.800      0.738     -0.151     -0.658  7.945e+07
      6.814      0.743     -0.141     -0.655  7.898e+07
      6.829      0.745     -0.130     -0.654  8.553e+07
      6.843      0.749     -0.125     -0.651  9.058e+07
      6.857      0.750     -0.120     -0.650  9.012e+07
      6.871      0.752     -0.112     -0.650  9.198e+07
      6.886      0.759     -0.104     -0.642  9.085e+07
      6.900      0.762     -0.092     -0.641  8.934e+07
      6.914      0.761     -0.095     -0.642  9.912e+07
      6.929      0.770     -0.078     -0.633  8.912e+07
      6.943      0.763     -0.079     -0.641  9.470e+07
      6.957      0.766     -0.071     -0.639  9.388e+07
      6.971      0.765     -0.076     -0.639  9.459e+07
      6.986      0.770     -0.070     -0.635  9.352e+07
      7.000      0.764     -0.069     -0.641  9.666e+07
      7.014      0.762     -0.063     -0.645  9.791e+07
      7.029      0.775     -0.066     -0.628  9.994e+07
      7.043      0.776     -0.061     -0.628  9.358e+07
      7.057      0.778     -0.056     -0.626  9.796e+07
      7.071      0.778     -0.050     -0.626  9.365e+07
      7.086      0.771     -0.058     -0.634  9.711e+07
      7.100      0.776     -0.056     -0.628  9.930e+07
      7.114      0.780     -0.053     -0.624  9.722e+07
      7.129      0.780     -0.051     -0.624  9.783e+07
      7.143      0.784     -0.047     -0.619  9.771e+07
      7.157      0.786     -0.046     -0.617  9.613e+07
      7.171      0.787     -0.045     -0.616  9.969e+07
      7.186      0.783     -0.035     -0.621  9.451e+07
      7.200      0.788     -0.045     -0.615  9.473e+07
      7.214      0.787     -0.030     -0.616  9.731e+07
      7.229      0.794     -0.032     -0.608  9.844e+07
      7.243      0.791     -0.032     -0.611  9.988e+07
      7.257      0.791     -0.033     -0.611  9.816e+07
      7.271      0.789     -0.030     -0.614  9.677e+07
      7.286      0.796     -0.026     -0.605  1.009e+08
      7.300      0.795     -0.031     -0.606  1.011e+08
      7.314      0.791     -0.026     -0.611  9.947e+07
      7.329      0.799     -0.018     -0.601  9.318e+07
      7.343      0.800     -0.024     -0.600  1.007e+08
      7.357      0.801     -0.024     -0.599  9.540e+07
      7.371      0.801     -0.025     -0.598  1.015e+08
      7.386      0.812     -0.012     -0.583  1.009e+08
      7.400      0.807     -0.016     -0.590  1.031e+08
      7.414      0.814     -0.018     -0.581  1.017e+08
      7.429      0.816     -0.012     -0.579  1.036e+08
      7.443      0.812     -0.007     -0.583  1.072e+08
      7.457      0.816     -0.007     -0.578  1.060e+08
      7.471      0.822     -0.008     -0.570  1.048e+08
      7.486      0.821     -0.011     -0.571  1.058e+08
      7.500      0.829     -0.006     -0.559  1.110e+08
      7.514      0.833     -0.007     -0.553  1.086e+08
      7.529      0.831     -0.006     -0.556  1.142e+08
      7.543      0.834     -0.007     -0.551  1.139e+08
      7.557      0.839     -0.003     -0.543  1.158e+08
      7.571      0.840      0.001     -0.542  1.184e+08
      7.586      0.843     -0.004     -0.537  1.213e+08
      7.600      0.850     -0.000     -0.527  1.212e+08
      7.614      0.847     -0.003     -0.532  1.247e+08
      7.629      0.852     -0.003     -0.524  1.254e+08
      7.643      0.852      0.006     -0.523  1.293e+08
      7.657      0.853      0.002     -0.522  1.305e+08
      7.671      0.856      0.002     -0.517  1.317e+08
      7.686      0.859     -0.001     -0.513  1.339e+08
      7.700      0.857     -0.006     -0.514  1.353e+08
      7.714      0.861     -0.000     -0.509  1.348e+08
      7.729      0.863      0.003     -0.506  1.346e+08
      7.743      0.866     -0.000     -0.500  1.334e+08
      7.757      0.865      0.002     -0.502  1.368e+08
      7.771      0.864     -0.004     -0.503  1.403e+08
      7.786      0.862     -0.003     -0.506  1.435e+08
      7.800      0.866     -0.001     -0.501  1.404e+08
      7.814      0.864     -0.000     -0.503  1.464e+08
      7.829      0.863     -0.004     -0.504  1.450e+08
