#         t      x_hat      y_hat      z_hat      L_mag
      0.000      0.218      0.891     -0.399  1.273e+07
      0.014      0.215      0.891     -0.400  1.278e+07
      0.029      0.213      0.892     -0.399  1.280e+07
      0.043      0.211      0.893     -0.398  1.270e+07
      0.057      0.209      0.894     -0.397  1.284e+07
      0.071      0.207      0.895     -0.395  1.288e+07
      0.086      0.204      0.896     -0.394  1.283e+07
      0.100      0.201      0.896     -0.396  1.276e+07
      0.114      0.199      0.896     -0.396  1.280e+07
      0.129      0.199      0.896     -0.396  1.280e+07
      0.143      0.199      0.896     -0.396  1.277e+07
      0.157      0.200      0.896     -0.396  1.279e+07
      0.171      0.200      0.897     -0.393  1.263e+07
      0.186      0.199      0.897     -0.395  1.275e+07
      0.200      0.197      0.898     -0.394  1.284e+07
      0.214      0.195      0.899     -0.392  1.279e+07
      0.229      0.194      0.900     -0.391  1.280e+07
      0.243      0.193      0.901     -0.390  1.274e+07
      0.257      0.193      0.901     -0.388  1.262e+07
      0.271      0.194      0.901     -0.388  1.273e+07
      0.286      0.195      0.901     -0.387  1.272e+07
      0.300      0.196      0.902     -0.384  1.288e+07
      0.314      0.198      0.901     -0.385  1.277e+07
      0.329      0.200      0.901     -0.386  1.275e+07
      0.343      0.202      0.900     -0.387  1.274e+07
      0.357      0.203      0.899     -0.388  1.273e+07
      0.371      0.204      0.899     -0.387  1.272e+07
      0.386      0.205      0.899     -0.387  1.283e+07
      0.400      0.207      0.899     -0.387  1.272e+07
      0.414      0.207      0.899     -0.385  1.278e+07
      0.429      0.208      0.899     -0.384  1.272e+07
      0.443      0.207      0.900     -0.384  1.274e+07
      0.457      0.205      0.901     -0.384  1.275e+07
      0.471      0.202      0.902     -0.382  1.267e+07
      0.486      0.199      0.903     -0.380  1.282e+07
      0.500      0.199      0.903     -0.380  1.279e+07
      0.514      0.201      0.904     -0.379  1.277e+07
      0.529      0.200      0.903     -0.380  1.256e+07
      0.543      0.202      0.903     -0.380  1.255e+07
      0.557      0.205      0.902     -0.380  1.268e+07
      0.571      0.209      0.902     -0.377  1.264e+07
      0.586      0.207      0.904     -0.375  1.262e+07
      0.600      0.207      0.903     -0.377  1.267e+07
      0.614      0.206      0.903     -0.376  1.274e+07
      0.629      0.202      0.905     -0.375  1.271e+07
      0.643      0.203      0.904     -0.375  1.264e+07
      0.657      0.203      0.905     -0.374  1.278e+07
      0.671      0.202      0.905     -0.374  1.272e+07
      0.686      0.203      0.905     -0.374  1.267e+07
      0.700      0.205      0.905     -0.373  1.267e+07
      0.714      0.206      0.904     -0.375  1.278e+07
      0.729      0.206      0.903     -0.378  1.271e+07
      0.743      0.205      0.902     -0.380  1.274e+07
      0.757      0.205      0.903     -0.378  1.281e+07
      0.771      0.205      0.902     -0.380  1.278e+07
      0.786      0.204      0.901     -0.382  1.278e+07
      0.800      0.205      0.901     -0.383  1.267e+07
      0.814      0.204      0.900     -0.386  1.270e+07
      0.829      0.202      0.899     -0.388  1.266e+07
      0.843      0.200      0.899     -0.390  1.262e+07
      0.857      0.198      0.899     -0.390  1.267e+07
      0.871      0.195      0.898     -0.394  1.264e+07
      0.886      0.192      0.899     -0.395  1.255e+07
      0.900      0.190      0.898     -0.396  1.246e+07
      0.914      0.187      0.899     -0.397  1.263e+07
      0.929      0.183      0.898     -0.399  1.244e+07
      0.943      0.179      0.900     -0.398  1.248e+07
      0.957      0.174      0.900     -0.400  1.256e+07
      0.971      0.169      0.900     -0.401  1.242e+07
      0.986      0.167      0.899     -0.405  1.252e+07
      1.000      0.163      0.899     -0.406  1.254e+07
      1.014      0.160      0.899     -0.407  1.230e+07
      1.029      0.154      0.900     -0.407  1.235e+07
      1.043      0.154      0.900     -0.409  1.232e+07
      1.057      0.151      0.900     -0.410  1.253e+07
      1.071      0.147      0.901     -0.408  1.241e+07
      1.086      0.142      0.902     -0.407  1.241e+07
      1.100      0.140      0.903     -0.405  1.235e+07
      1.114      0.135      0.904     -0.406  1.233e+07
      1.129      0.131      0.906     -0.403  1.232e+07
      1.143      0.129      0.907     -0.401  1.225e+07
      1.157      0.124      0.908     -0.400  1.226e+07
      1.171      0.123      0.909     -0.398  1.232e+07
      1.186      0.121      0.909     -0.398  1.235e+07
      1.200      0.121      0.910     -0.396  1.226e+07
      1.214      0.121      0.911     -0.395  1.228e+07
      1.229      0.121      0.912     -0.393  1.223e+07
      1.243      0.120      0.912     -0.392  1.231e+07
      1.257      0.121      0.913     -0.389  1.227e+07
      1.271      0.119      0.913     -0.390  1.226e+07
      1.286      0.120      0.914     -0.388  1.231e+07
      1.300      0.122      0.914     -0.387  1.223e+07
      1.314      0.121      0.914     -0.387  1.213e+07
      1.329      0.121      0.915     -0.385  1.228e+07
      1.343      0.117      0.915     -0.385  1.231e+07
      1.357      0.118      0.916     -0.383  1.235e+07
      1.371      0.117      0.918     -0.380  1.235e+07
      1.386      0.116      0.918     -0.378  1.213e+07
      1.400      0.116      0.918     -0.378  1.215e+07
      1.414      0.115      0.919     -0.378  1.203e+07
      1.429      0.114      0.920     -0.376  1.219e+07
      1.443      0.115      0.919     -0.376  1.221e+07
      1.457      0.117      0.920     -0.375  1.216e+07
      1.471      0.112      0.919     -0.378  1.217e+07
      1.486      0.113      0.920     -0.376  1.218e+07
      1.500      0.112      0.920     -0.375  1.223e+07
      1.514      0.116      0.920     -0.373  1.214e+07
      1.529      0.115      0.920     -0.374  1.217e+07
      1.543      0.118      0.920     -0.374  1.209e+07
      1.557      0.118      0.919     -0.375  1.214e+07
      1.571      0.117      0.920     -0.374  1.211e+07
      1.586      0.115      0.921     -0.373  1.219e+07
      1.600      0.113      0.921     -0.373  1.209e+07
      1.614      0.114      0.920     -0.375  1.210e+07
      1.629      0.114      0.920     -0.376  1.201e+07
      1.643      0.111      0.921     -0.373  1.214e+07
      1.657      0.111      0.920     -0.375  1.215e+07
      1.671      0.111      0.921     -0.374  1.212e+07
      1.686      0.109      0.920     -0.377  1.215e+07
      1.700      0.110      0.919     -0.378  1.212e+07
      1.714      0.110      0.919     -0.379  1.204e+07
      1.729      0.112      0.919     -0.378  1.203e+07
      1.743      0.111      0.917     -0.382  1.217e+07
      1.757      0.115      0.918     -0.380  1.209e+07
      1.771      0.118      0.919     -0.376  1.216e+07
      1.786      0.118      0.919     -0.375  1.206e+07
      1.800      0.123      0.920     -0.372  1.212e+07
      1.814      0.126      0.920     -0.372  1.216e+07
      1.829      0.128      0.919     -0.372  1.206e+07
      1.843      0.127      0.920     -0.370  1.207e+07
      1.857      0.128      0.920     -0.370  1.208e+07
      1.871      0.133      0.921     -0.365  1.215e+07
      1.886      0.130      0.921     -0.366  1.215e+07
      1.900      0.130      0.921     -0.367  1.210e+07
      1.914      0.131      0.921     -0.367  1.214e+07
      1.929      0.132      0.920     -0.369  1.216e+07
      1.943      0.134      0.919     -0.370  1.206e+07
      1.957      0.134      0.920     -0.368  1.203e+07
      1.971      0.137      0.919     -0.371  1.205e+07
      1.986      0.137      0.918     -0.372  1.207e+07
      2.000      0.137      0.917     -0.375  1.210e+07
      2.014      0.136      0.918     -0.373  1.201e+07
      2.029      0.135      0.917     -0.374  1.204e+07
      2.043      0.135      0.917     -0.375  1.212e+07
      2.057      0.136      0.917     -0.374  1.207e+07
      2.071      0.137      0.916     -0.377  1.213e+07
      2.086      0.135      0.916     -0.377  1.208e+07
      2.100      0.136      0.916     -0.378  1.211e+07
      2.114      0.134      0.915     -0.381  1.206e+07
      2.129      0.133      0.917     -0.377  1.203e+07
      2.143      0.132      0.916     -0.379  1.209e+07
      2.157      0.130      0.916     -0.381  1.210e+07
      2.171      0.128      0.917     -0.379  1.210e+07
      2.186      0.129      0.916     -0.380  1.205e+07
      2.200      0.128      0.915     -0.382  1.210e+07
      2.214      0.129      0.916     -0.381  1.207e+07
      2.229      0.132      0.916     -0.378  1.207e+07
      2.243      0.130      0.916     -0.380  1.207e+07
      2.257      0.131      0.915     -0.382  1.217e+07
      2.271      0.127      0.915     -0.382  1.205e+07
      2.286      0.129      0.915     -0.382  1.223e+07
      2.300      0.126      0.916     -0.381  1.207e+07
      2.314      0.128      0.916     -0.381  1.210e+07
      2.329      0.125      0.917     -0.379  1.220e+07
      2.343      0.124      0.918     -0.378  1.197e+07
      2.357      0.126      0.915     -0.383  1.215e+07
      2.371      0.124      0.916     -0.381  1.200e+07
      2.386      0.124      0.915     -0.385  1.196e+07
      2.400      0.121      0.916     -0.382  1.206e+07
      2.414      0.122      0.915     -0.385  1.211e+07
      2.429      0.118      0.917     -0.380  1.203e+07
      2.443      0.118      0.915     -0.385  1.208e+07
      2.457      0.113      0.919     -0.379  1.205e+07
      2.471      0.119      0.915     -0.386  1.202e+07
      2.486      0.115      0.918     -0.379  1.200e+07
      2.500      0.118      0.917     -0.382  1.209e+07
      2.514      0.120      0.916     -0.382  1.207e+07
      2.529      0.120      0.916     -0.383  1.205e+07
      2.543      0.118      0.916     -0.384  1.206e+07
      2.557      0.119      0.916     -0.382  1.201e+07
      2.571      0.120      0.916     -0.384  1.204e+07
      2.586      0.124      0.914     -0.385  1.213e+07
      2.600      0.122      0.916     -0.381  1.215e+07
      2.614      0.132      0.911     -0.391  1.212e+07
      2.629      0.132      0.911     -0.390  1.224e+07
      2.643      0.128      0.913     -0.387  1.199e+07
      2.657      0.127      0.913     -0.388  1.203e+07
      2.671      0.124      0.916     -0.381  1.205e+07
      2.686      0.119      0.916     -0.383  1.195e+07
      2.700      0.119      0.916     -0.383  1.202e+07
      2.714      0.119      0.914     -0.388  1.213e+07
      2.729      0.125      0.907     -0.403  1.227e+07
      2.743      0.112      0.916     -0.386  1.203e+07
      2.757      0.115      0.914     -0.389  1.207e+07
      2.771      0.111      0.917     -0.384  1.204e+07
      2.786      0.113      0.917     -0.382  1.198e+07
      2.800      0.115      0.916     -0.384  1.215e+07
      2.814      0.116      0.914     -0.388  1.201e+07
      2.829      0.114      0.917     -0.383  1.200e+07
      2.843      0.120      0.913     -0.389  1.202e+07
      2.857      0.116      0.915     -0.385  1.203e+07
      2.871      0.117      0.913     -0.390  1.201e+07
      2.886      0.113      0.915     -0.388  1.199e+07
      2.900      0.114      0.915     -0.388  1.197e+07
      2.914      0.112      0.915     -0.388  1.202e+07
      2.929      0.116      0.913     -0.391  1.208e+07
      2.943      0.111      0.915     -0.389  1.198e+07
      2.957      0.109      0.914     -0.391  1.204e+07
      2.971      0.107      0.914     -0.392  1.196e+07
      2.986      0.108      0.916     -0.386  1.202e+07
      3.000      0.109      0.913     -0.392  1.206e+07
      3.014      0.107      0.916     -0.388  1.195e+07
      3.029      0.113      0.910     -0.398  1.225e+07
      3.043      0.109      0.913     -0.394  1.202e+07
      3.057      0.107      0.913     -0.393  1.196e+07
      3.071      0.107      0.914     -0.392  1.198e+07
      3.086      0.107      0.914     -0.391  1.188e+07
      3.100      0.106      0.915     -0.390  1.193e+07
      3.114      0.106      0.914     -0.391  1.190e+07
      3.129      0.107      0.913     -0.393  1.191e+07
      3.143      0.104      0.913     -0.394  1.194e+07
      3.157      0.112      0.909     -0.401  1.205e+07
      3.171      0.103      0.912     -0.397  1.197e+07
      3.186      0.104      0.912     -0.396  1.200e+07
      3.200      0.101      0.912     -0.398  1.203e+07
      3.214      0.104      0.911     -0.399  1.201e+07
      3.229      0.103      0.913     -0.395  1.201e+07
      3.243      0.103      0.911     -0.399  1.194e+07
      3.257      0.099      0.911     -0.401  1.189e+07
