#         t         Lx         Ly         Lz
      2.443     -0.073     -0.047     -0.090
      2.457     -0.100     -0.101      0.019
      2.471     -0.008     -0.014     -0.009
      2.486     -0.037     -0.047      0.034
      2.500     -0.004     -0.046      0.022
      2.514     -0.022      0.050     -0.009
      2.529     -0.035      0.095     -0.051
      2.543     -0.113      0.087      0.131
      2.557     -0.055      0.140     -0.055
      2.571      0.046     -0.037      0.042
      2.586     -0.026     -0.082      0.001
      2.600     -0.003      0.128     -0.012
      2.614      0.211     -0.082     -0.121
      2.629      0.055      0.003     -0.058
      2.643      0.072      0.075     -0.021
      2.657      0.021     -0.082      0.011
      2.671      0.044      0.031     -0.028
      2.686      0.020      0.118     -0.057
      2.700      0.002     -0.024     -0.057
      2.714      0.056     -0.083      0.129
      2.729     -0.046     -0.079      0.047
      2.743     -0.065     -0.010     -0.011
      2.757      0.005      0.087     -0.018
      2.771      0.083      0.093     -0.078
      2.786      0.033      0.022      0.027
      2.800     -0.040      0.024      0.041
      2.814     -0.038      0.030      0.052
      2.829     -0.092     -0.060     -0.081
      2.843     -0.078      0.001     -0.081
      2.857      0.062     -0.055     -0.055
      2.871      0.021     -0.041      0.023
      2.886     -0.052     -0.067     -0.046
      2.900      0.044     -0.122     -0.063
      2.914     -0.043      0.022     -0.067
      2.929     -0.061      0.083     -0.068
      2.943     -0.011     -0.078      0.048
      2.957     -0.115     -0.058     -0.039
      2.971      0.061      0.025      0.066
      2.986      0.011     -0.036     -0.026
      3.000      0.086     -0.088      0.010
      3.014      0.042      0.061     -0.058
      3.029     -0.066      0.057     -0.175
      3.043     -0.049     -0.096     -0.096
      3.057     -0.148      0.081      0.025
      3.071     -0.060      0.066      0.051
      3.086     -0.080      0.037      0.022
      3.100      0.027      0.046     -0.010
      3.114      0.061      0.007      0.095
      3.129     -0.022     -0.237      0.013
      3.143     -0.028      0.061      0.161
      3.157      0.021     -0.055      0.018
      3.171     -0.098     -0.027     -0.039
      3.186     -0.029     -0.077      0.078
      3.200      0.038      0.057     -0.096
      3.214      0.093     -0.119     -0.028
      3.229     -0.009     -0.128     -0.010
      3.243     -0.057      0.028     -0.087
      3.257      0.049     -0.059      0.016
      3.271     -0.018      0.058     -0.011
      3.286      0.039     -0.039      0.016
      3.300      0.058     -0.118     -0.049
      3.314     -0.067     -0.058     -0.121
      3.329     -0.022      0.027     -0.034
      3.343      0.013     -0.035      0.041
      3.357     -0.048     -0.013     -0.130
      3.371      0.036     -0.059      0.023
      3.386      0.014      0.021     -0.056
      3.400      0.071     -0.117      0.004
      3.414     -0.082      0.043      0.001
      3.429      0.070      0.001      0.007
      3.443     -0.008      0.010     -0.055
      3.457      0.038      0.106      0.010
      3.471      0.050     -0.082     -0.088
      3.486     -0.063     -0.052      0.049
      3.500     -0.043     -0.090      0.034
      3.514      0.049      0.008     -0.002
      3.529      0.062      0.065     -0.101
      3.543     -0.103     -0.044     -0.027
      3.557      0.012      0.112      0.065
      3.571     -0.010      0.021      0.023
      3.586     -0.003      0.084      0.050
      3.600      0.054      0.036     -0.003
      3.614     -0.026      0.104      0.019
      3.629     -0.038      0.024      0.082
      3.643      0.105     -0.068      0.081
      3.657     -0.017      0.017      0.032
      3.671     -0.011     -0.013     -0.079
      3.686      0.034     -0.026     -0.032
      3.700      0.022      0.032      0.010
      3.714     -0.095      0.010      0.036
      3.729     -0.094     -0.003      0.066
      3.743      0.037     -0.043      0.004
      3.757     -0.022     -0.027     -0.050
      3.771      0.005      0.036      0.071
      3.786     -0.013      0.036      0.090
      3.800     -0.049      0.061     -0.030
      3.814      0.068     -0.075      0.072
      3.829      0.025     -0.083     -0.059
      3.843     -0.001      0.036      0.045
      3.857      0.003      0.014     -0.045
      3.871     -0.046      0.031      0.028
      3.886     -0.067      0.011      0.019
      3.900     -0.061     -0.126      0.002
      3.914      0.083      0.019     -0.120
      3.929     -0.046      0.102     -0.073
      3.943     -0.029      0.020     -0.095
      3.957      0.068     -0.082     -0.071
      3.971      0.037      0.025     -0.099
      3.986     -0.004      0.060      0.031
      4.000      0.057      0.102     -0.091
      4.014      0.060      0.035     -0.124
      4.029      0.074     -0.016      0.041
      4.043      0.022     -0.030      0.055
      4.057      0.118      0.060      0.060
      4.071     -0.041      0.105      0.045
      4.086      0.097     -0.099      0.055
      4.100      0.049     -0.006     -0.107
      4.114      0.094     -0.060      0.033
      4.129      0.034      0.001     -0.068
      4.143     -0.028     -0.043      0.036
      4.157     -0.109      0.083     -0.139
      4.171     -0.178     -0.021     -0.017
      4.186      0.023      0.074     -0.025
      4.200      0.004      0.075      0.034
      4.214     -0.037      0.033      0.017
      4.229     -0.027     -0.132      0.097
      4.243      0.015      0.159     -0.064
      4.257     -0.038      0.008      0.169
      4.271      0.033     -0.041      0.023
      4.286      0.167     -0.013      0.039
      4.300      0.101      0.004      0.072
      4.314      0.001     -0.017      0.127
      4.329      0.021     -0.041      0.030
      4.343     -0.156      0.058     -0.094
      4.357     -0.003      0.025      0.035
      4.371     -0.099      0.087      0.079
      4.386     -0.067      0.018     -0.001
      4.400      0.075     -0.033      0.067
      4.414      0.033     -0.031      0.063
      4.429      0.015     -0.081      0.013
      4.443     -0.064     -0.047      0.004
      4.457      0.040      0.020     -0.021
      4.471     -0.080      0.002     -0.002
      4.486     -0.006     -0.070      0.068
      4.500      0.048      0.077     -0.061
      4.514     -0.014     -0.178      0.018
      4.529      0.052      0.015     -0.073
      4.543     -0.062      0.057      0.022
      4.557      0.088      0.008     -0.029
      4.571      0.038     -0.014     -0.040
      4.586     -0.059     -0.074      0.207
      4.600     -0.032     -0.073      0.138
      4.614      0.028      0.013     -0.133
      4.629      0.103     -0.022     -0.071
      4.643      0.029      0.017     -0.088
      4.657      0.026     -0.035      0.169
      4.671     -0.115      0.000     -0.038
      4.686      0.105     -0.074     -0.136
      4.700     -0.156      0.087     -0.099
      4.714      0.181     -0.128      0.022
      4.729      0.056      0.133     -0.053
      4.743      0.110     -0.133      0.101
      4.757     -0.056     -0.090      0.051
      4.771     -0.068      0.019     -0.011
      4.786     -0.140     -0.035      0.182
      4.800     -0.062     -0.037     -0.001
      4.814      0.048      0.009      0.091
      4.829      0.023      0.086     -0.021
      4.843     -0.038      0.067     -0.031
      4.857      0.021     -0.097     -0.007
      4.871     -0.022     -0.051     -0.024
      4.886     -0.047     -0.056      0.061
      4.900     -0.009     -0.080     -0.057
      4.914      0.114      0.023     -0.099
      4.929     -0.016     -0.047     -0.049
      4.943      0.053      0.110      0.014
      4.957      0.011      0.064     -0.054
      4.971     -0.040     -0.002     -0.033
      4.986      0.026      0.020      0.005
      5.000     -0.016      0.030      0.107
      5.014      0.022      0.061     -0.009
      5.029     -0.037      0.018     -0.044
      5.043     -0.066      0.073     -0.092
      5.057     -0.035     -0.016      0.112
      5.071     -0.040      0.033     -0.100
      5.086      0.101      0.012     -0.030
      5.100     -0.007     -0.032     -0.018
      5.114      0.004      0.073     -0.093
      5.129      0.103     -0.032     -0.042
      5.143      0.063      0.011      0.059
      5.157     -0.037     -0.086      0.009
      5.171     -0.100     -0.072      0.033
      5.186      0.009      0.010     -0.023
      5.200     -0.032     -0.007      0.051
      5.214     -0.002     -0.036      0.064
      5.229      0.046     -0.066      0.059
      5.243     -0.025      0.027     -0.061
      5.257     -0.008     -0.011     -0.014
      5.271      0.110      0.027     -0.006
      5.286     -0.027     -0.022     -0.019
      5.300      0.029      0.008     -0.067
      5.314     -0.151     -0.082      0.090
      5.329     -0.029      0.091      0.028
      5.343     -0.013      0.046      0.016
      5.357      0.041     -0.033     -0.135
      5.371     -0.085     -0.094     -0.020
      5.386     -0.014     -0.091     -0.028
      5.400      0.008      0.085     -0.000
      5.414      0.017      0.036     -0.056
      5.429     -0.107     -0.041     -0.041
      5.443     -0.092     -0.098      0.120
      5.457     -0.066     -0.038     -0.083
      5.471      0.072      0.083     -0.059
      5.486     -0.063     -0.006     -0.259
      5.500     -0.106      0.002     -0.147
      5.514      0.087      0.038     -0.044
      5.529      0.071     -0.033     -0.015
      5.543      0.019      0.041      0.031
      5.557      0.028     -0.011      0.033
      5.571      0.018     -0.071      0.032
      5.586     -0.046      0.103      0.094
      5.600      0.002      0.031      0.061
      5.614      0.101     -0.068      0.022
      5.629      0.049      0.020     -0.069
      5.643     -0.040      0.058      0.024
      5.657      0.035     -0.056     -0.061
      5.671      0.026      0.036     -0.097
      5.686     -0.021     -0.032     -0.001
      5.700      0.019      0.069      0.002
      5.714      0.009     -0.002      0.124
      5.729      0.062     -0.060     -0.048
      5.743      0.026      0.063      0.057
      5.757     -0.076     -0.014     -0.115
      5.771     -0.029     -0.047      0.053
      5.786      0.004     -0.056      0.002
      5.800      0.016      0.061     -0.087
      5.814      0.032      0.054      0.004
      5.829     -0.113     -0.015     -0.101
      5.843     -0.010      0.018     -0.107
      5.857     -0.076     -0.049     -0.032
      5.871     -0.023      0.043      0.107
      5.886     -0.018      0.004     -0.153
      5.900      0.004     -0.015     -0.066
      5.914     -0.003     -0.062     -0.066
      5.929      0.067      0.012     -0.129
      5.943      0.028     -0.040      0.031
      5.957     -0.024     -0.039     -0.034
      5.971     -0.056      0.027      0.121
      5.986      0.080      0.004     -0.146
      6.000      0.002     -0.005     -0.077
      6.014      0.068      0.118     -0.027
      6.029      0.020      0.034     -0.062
      6.043     -0.028      0.058      0.010
      6.057      0.116     -0.143     -0.068
      6.071      0.063      0.021     -0.082
      6.086      0.117      0.001     -0.020
      6.100      0.002     -0.048      0.036
      6.114     -0.044      0.057     -0.054
      6.129     -0.026      0.116     -0.073
      6.143      0.082     -0.023      0.004
      6.157     -0.132     -0.073      0.061
      6.171     -0.120      0.150      0.031
      6.186      0.019     -0.099      0.027
      6.200     -0.124      0.076      0.012
      6.214      0.088     -0.069     -0.036
      6.229     -0.070      0.146      0.033
      6.243     -0.060     -0.043      0.013
      6.257     -0.053      0.024      0.022
      6.271      0.099      0.075      0.050
      6.286      0.086     -0.028      0.068
      6.300      0.073      0.086     -0.056
      6.314     -0.085     -0.128     -0.015
      6.329     -0.137     -0.014      0.009
      6.343      0.042     -0.027      0.018
      6.357     -0.125     -0.011      0.056
