#         t         Lx         Ly         Lz
     10.743     -0.012     -0.020     -0.038
     10.757     -0.169     -0.003      0.047
     10.771      0.077     -0.004     -0.046
     10.786      0.077      0.091      0.006
     10.800     -0.001      0.008      0.070
     10.814      0.037     -0.036      0.006
     10.829      0.006      0.113     -0.038
     10.843     -0.069     -0.032      0.035
     10.857      0.095      0.019      0.001
     10.871      0.050      0.050      0.056
     10.886      0.018     -0.027      0.006
     10.900     -0.053      0.012      0.000
     10.914      0.054     -0.019      0.044
     10.929      0.007      0.047     -0.010
     10.943      0.010      0.008     -0.025
     10.957      0.166     -0.053     -0.021
     10.971      0.033     -0.083      0.049
     10.986      0.127      0.014     -0.019
     11.000     -0.003     -0.107      0.006
     11.014      0.040     -0.051      0.171
     11.029     -0.014     -0.035      0.075
     11.043     -0.012     -0.163      0.001
     11.057     -0.038     -0.049     -0.035
     11.071      0.050      0.065     -0.035
     11.086      0.033     -0.084     -0.052
     11.100     -0.016     -0.085     -0.122
     11.114      0.061      0.071     -0.105
     11.129     -0.041      0.101      0.104
     11.143      0.040      0.075      0.038
     11.157      0.021     -0.100     -0.068
     11.171     -0.044      0.024     -0.010
     11.186      0.085     -0.014     -0.016
     11.200      0.023     -0.086      0.130
     11.214     -0.016      0.071      0.043
     11.229      0.114      0.004     -0.035
     11.243      0.100     -0.062     -0.038
     11.257      0.063     -0.009      0.107
     11.271      0.025     -0.014      0.019
     11.286      0.187      0.032     -0.039
     11.300      0.036      0.063      0.080
     11.314      0.012     -0.038     -0.091
     11.329     -0.031     -0.018     -0.098
     11.343     -0.004     -0.059      0.096
     11.357     -0.117      0.009     -0.024
     11.371      0.060      0.023     -0.011
     11.386     -0.042     -0.143      0.020
     11.400      0.042      0.028      0.024
     11.414      0.044     -0.052      0.091
     11.429      0.043     -0.070      0.009
     11.443     -0.038      0.019      0.038
