#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.440   -412.410     45.330    101.980    142.020
      0.014   -475.590    492.880   -410.420     43.580    102.570    142.250
      0.029   -474.990    494.360   -408.370     45.460    104.700    144.420
      0.043   -474.310    495.870   -406.290     47.630    106.060    146.180
      0.057   -473.620    497.400   -404.180     46.890    105.230    146.210
      0.071   -472.950    498.950   -402.040     48.240    106.430    147.110
      0.086   -472.280    500.500   -399.920     49.760    108.810    148.280
      0.100   -471.590    502.090   -397.810     49.630    107.970    148.590
      0.114   -470.880    503.610   -395.670     53.850    109.230    150.740
      0.129   -470.080    505.200   -393.540     56.780    109.110    149.630
      0.143   -469.310    506.760   -391.420     58.540    111.420    150.780
      0.157   -468.500    508.390   -389.270     59.940    113.640    152.500
      0.171   -467.690    510.030   -387.100     60.910    113.940    153.570
      0.186   -466.820    511.690   -384.840     62.620    114.870    154.630
      0.200   -465.920    513.370   -382.590     62.730    116.850    157.220
      0.214   -465.050    515.030   -380.300     63.150    116.570    159.980
      0.229   -464.160    516.700   -377.960     64.300    117.320    162.280
      0.243   -463.170    518.380   -375.590     66.170    118.490    163.650
      0.257   -462.200    520.050   -373.230     69.980    118.940    165.500
      0.271   -461.170    521.720   -370.880     70.500    122.140    169.040
      0.286   -460.200    523.510   -368.470     71.810    123.800    170.880
      0.300   -459.170    525.330   -365.980     74.170    125.800    175.650
      0.314   -458.060    527.140   -363.470     77.020    126.080    176.270
      0.329   -456.940    528.950   -360.960     79.370    127.490    177.820
      0.343   -455.820    530.810   -358.390     80.850    128.750    181.810
      0.357   -454.660    532.670   -355.780     81.390    129.040    183.430
      0.371   -453.440    534.520   -353.120     86.470    129.960    184.730
      0.386   -452.180    536.370   -350.490     87.500    131.270    187.110
      0.400   -450.770    538.180   -347.790     90.240    130.510    187.230
      0.414   -449.450    540.070   -345.060     93.900    131.410    189.980
      0.429   -448.100    541.960   -342.360     96.310    133.640    191.170
      0.443   -446.670    543.840   -339.650     96.740    133.250    192.480
      0.457   -445.260    545.740   -336.910    101.550    133.690    194.270
      0.471   -443.830    547.630   -334.200    102.740    134.330    196.910
      0.486   -442.360    549.550   -331.320    104.350    133.420    199.610
      0.500   -440.900    551.430   -328.530    108.410    135.030    202.870
      0.514   -439.380    553.330   -325.750    111.240    136.170    205.710
      0.529   -437.760    555.280   -322.820    118.410    135.120    205.210
      0.543   -436.040    557.200   -319.910    122.770    134.750    207.250
      0.557   -434.300    559.160   -316.980    126.540    137.880    210.600
      0.571   -432.470    561.120   -313.980    130.050    136.890    210.530
      0.586   -430.590    563.080   -310.950    136.210    135.450    212.540
      0.600   -428.630    565.040   -307.870    140.400    135.880    215.270
      0.614   -426.590    567.010   -304.740    144.320    136.500    218.620
      0.629   -424.520    568.940   -301.580    147.660    135.200    221.860
      0.643   -422.370    570.870   -298.350    153.810    133.870    222.670
      0.657   -420.180    572.830   -295.100    157.350    135.340    226.480
      0.671   -417.870    574.760   -291.800    161.020    134.480    230.360
      0.686   -415.440    576.630   -288.460    166.450    131.990    232.170
      0.700   -412.980    578.500   -285.100    171.840    130.730    234.080
      0.714   -410.450    580.340   -281.700    177.900    126.650    235.180
      0.729   -407.850    582.150   -278.260    184.770    124.100    238.220
      0.743   -405.130    583.860   -274.880    188.410    120.770    239.140
      0.757   -402.420    585.560   -271.490    193.600    119.530    241.160
      0.771   -399.590    587.230   -268.080    199.380    116.330    240.980
      0.786   -396.700    588.860   -264.640    205.430    113.670    242.970
      0.800   -393.740    590.510   -261.090    212.690    110.000    243.600
      0.814   -390.630    592.010   -257.680    218.850    105.810    244.930
      0.829   -387.480    593.520   -254.100    225.840    101.220    246.110
      0.843   -384.200    594.920   -250.650    231.100     96.980    246.220
      0.857   -380.910    596.260   -247.170    236.440     93.190    247.580
      0.871   -377.410    597.570   -243.580    244.450     87.090    247.790
      0.886   -373.840    598.800   -239.980    252.250     81.160    249.440
