gal, snap, a, err
 M31, 187,   61.7,  0.1
 M31, 188,   61.6,  0.1
 M31, 189,   61.6,  0.2
 M31, 190,   61.5,  0.4
 M31, 191,   61.5,  0.2
 M31, 192,   61.2,  0.1
 M31, 193,   60.9,  0.2
 M31, 194,   61.5,  0.2
 M31, 195,   60.8,  0.3
 M31, 196,   61.2,  0.2
 M31, 197,   61.1,  0.2
 M31, 198,   60.5,  0.3
 M31, 199,   61.2,  0.2
 M31, 200,   60.4,  0.3
 M31, 201,   61.0,  0.3
 M31, 202,   61.4,  0.1
 M31, 203,   61.3,  0.2
 M31, 204,   61.3,  0.2
 M31, 205,   61.8,  0.3
 M31, 206,   62.1,  0.2
 M31, 207,   61.3,  0.2
 M31, 208,   61.4,  0.2
 M31, 209,   61.6,  0.1
 M31, 210,   61.3,  0.1
 M31, 211,   61.5,  0.1
 M31, 212,   61.9,  0.3
 M31, 213,   61.4,  0.3
 M31, 214,   62.3,  0.6
 M31, 215,   61.2,  0.2
 M31, 216,   62.1,  0.4
 M31, 217,   61.8,  0.4
 M31, 218,   61.4,  0.4
 M31, 219,   61.1,  0.1
 M31, 220,   61.5,  0.2
 M31, 221,   60.6,  0.2
 M31, 222,   61.0,  0.2
 M31, 223,   61.8,  0.2
 M31, 224,   61.7,  0.2
 M31, 225,   61.9,  0.4
 M31, 226,   62.0,  0.3
 M31, 227,   62.1,  0.5
 M31, 228,   62.2,  0.5
 M31, 229,   62.1,  0.4
 M31, 230,   61.9,  0.5
 M31, 231,   61.4,  0.2
 M31, 232,   62.0,  0.5
 M31, 233,   61.7,  0.3
 M31, 234,   61.5,  0.1
 M31, 235,   62.0,  0.4
 M31, 236,   61.2,  0.2
 M31, 237,   61.9,  0.2
 M31, 238,   61.1,  0.1
 M31, 239,   60.8,  0.2
 M31, 240,   61.7,  0.5
 M31, 241,   60.6,  0.1
 M31, 242,   60.6,  0.2
 M31, 243,   60.9,  0.2
 M31, 244,   60.8,  0.2
 M31, 245,   61.1,  0.2
 M31, 246,   60.7,  0.4
 M31, 247,   60.9,  0.1
 M31, 248,   60.8,  0.2
 M31, 249,   60.1,  0.3
 M31, 250,   59.9,  0.2
 M31, 251,   60.3,  0.3
 M31, 252,   60.6,  0.2
 M31, 253,   60.7,  0.2
 M31, 254,   60.6,  0.2
 M31, 255,   61.0,  0.3
 M31, 256,   61.3,  0.2
 M31, 257,   60.6,  0.1
 M31, 258,   62.0,  0.7
 M31, 259,   61.4,  0.4
 M31, 260,   61.1,  0.1
 M31, 261,   61.5,  0.3
 M31, 262,   60.7,  0.1
 M31, 263,   60.7,  0.1
 M31, 264,   60.1,  0.1
 M31, 265,   60.0,  0.2
 M31, 266,   60.7,  0.1
 M31, 267,   59.9,  0.2
 M31, 268,   59.7,  0.1
 M31, 269,   60.0,  0.2
 M31, 270,   59.0,  0.2
 M31, 271,   58.7,  0.2
 M31, 272,   58.9,  0.1
 M31, 273,   58.2,  0.2
 M31, 274,   58.1,  0.2
 M31, 275,   57.8,  0.2
 M31, 276,   56.9,  0.2
 M31, 277,   56.7,  0.2
 M31, 278,   56.0,  0.3
 M31, 279,   55.5,  0.3
 M31, 280,   55.5,  0.4
 M31, 281,   54.5,  0.3
 M31, 282,   53.8,  0.3
